16:48:42.548 |I| Core                           | RequestBuilder thread:8        | MsBuild process with Id = 28828
16:48:42.555 |I| Core                           | RequestBuilder thread:8        | MsBuild location = /Library/Frameworks/Mono.framework/Versions/6.12.0/lib/mono/msbuild/Current/bin/MSBuild.dll
16:48:42.555 |I| Core                           | RequestBuilder thread:8        | 
16:48:42.556 |I| Core                           | RequestBuilder thread:8        | Start ControllerTask...
16:48:42.557 |I| Core                           | RequestBuilder thread:8        | Detected version: 16.10
16:48:42.561 |I| Core                           | RequestBuilder thread:8        | Creating SocketWire with port = 60943
16:48:42.602 |I| Core                           | RequestBuilder thread:8        | Create protocol...
16:48:42.730 |I| Core                           | RequestBuilder thread:8        | Create MsBuildModel and advise for new sessions...
16:48:42.801 |I| Core                           | RequestBuilder thread:8        | Subscribe for changes...
16:48:42.805 |I| Core                           | RequestBuilder thread:8        | Setup process watchdog...
16:48:42.808 |I| Core                           | RequestBuilder thread:8        | Run dispatcher...
16:48:42.809 |I| ProcessWatchdog                | WatchParentPid:28811:12        | Monitoring parent process PID:28811
16:48:42.909 |I| Core                           | RequestBuilder thread:8        | Get protocol session 'RdProjectModelSession'
16:48:42.929 |I| Core                           | RequestBuilder thread:8        | Msbuild session 'ProjectModelSessionHost' created
16:48:43.028 |I| ProjectModel                   | RequestBuilder thread:8        | Reloading 5 project(s) in 1 node(s)...
16:48:43.083 |I| Build                          | Thread Pool Worker:5           | Build started.
16:48:44.199 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: \Users\mykytatishkin\WhoKilledHim\Assembly-CSharp.csproj
16:48:44.208 |I| Build                          | RequestBuilder thread:8        | Start build 'Assembly-CSharp.csproj' with 1 target frameworks
16:48:44.256 |I| Build                          | RequestBuilder thread:8        | Targets for build: _CheckForInvalidConfigurationAndPlatform;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;Compile;CoreCompile
16:48:44.276 |I| BuildQueue                     | RequestBuilder thread:8        | Build immediately: \Users\mykytatishkin\WhoKilledHim\JetBrains.Frontend.2021.2.csproj
16:48:44.277 |I| Build                          | RequestBuilder thread:8        | Start build 'JetBrains.Frontend.2021.2.csproj' with 1 target frameworks
